,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
652,2019-05-31,8267.1,8555.0,44727.4916,416525,0,8392.946,8195.3142,7842.8942,6680.4635,0.296
653,2019-06-01,8555.0,8544.07,31868.2342,348375,0,8426.5291,8245.1365,7906.6375,6747.0209,0.2744
654,2019-06-02,8545.1,8725.98,27835.1333,299353,0,8493.0738,8313.8284,7981.1231,6817.698,0.4622
655,2019-06-03,8726.0,8115.82,45692.9651,431252,0,8409.2396,8285.5415,7993.3683,6864.0595,0.0
656,2019-06-04,8115.66,7687.03,74143.9489,645913,0,8248.7486,8200.0398,7965.5194,6893.4513,0.0
657,2019-06-05,7687.04,7776.5,48679.6565,426120,0,8143.8044,8139.5341,7948.3358,6924.9888,0.0539
658,2019-06-06,7778.08,7786.7,36624.1187,371485,0,8064.4479,8089.1293,7933.6416,6955.7642,0.0603
659,2019-06-07,7787.57,7980.53,33942.2257,323096,0,8045.7995,8073.6151,7937.9042,6992.363,0.1831
660,2019-06-08,7978.94,7893.62,22657.3296,250864,0,8011.9818,8047.9015,7933.8784,7024.5507,0.1209
661,2019-06-09,7895.28,7628.13,31568.4652,322175,1,7926.6814,7987.9341,7906.0831,7046.1071,0.0
662,2019-06-10,7627.57,7982.75,36756.0785,387179,0,7939.1411,7987.1936,7913.0528,7079.5586,0.2293
663,2019-06-11,7981.0,7884.9,30334.9994,309059,0,7927.0875,7972.5802,7910.4934,7108.3208,0.174
664,2019-06-12,7884.9,8127.64,41597.0826,361980,0,7971.6547,7994.7316,7930.234,7144.7251,0.3884
665,2019-06-13,8127.64,8218.54,30467.7643,341246,0,8026.5181,8026.7042,7956.4437,7183.0756,0.4554
666,2019-06-14,8216.44,8650.0,39835.2463,410072,0,8165.0697,8115.7465,8019.4942,7235.4658,0.7422
667,2019-06-15,8650.88,8808.7,31791.636,335840,0,8308.0986,8214.7398,8091.2402,7291.6527,0.8353
668,2019-06-16,8810.77,8953.33,63289.2512,552319,0,8451.4834,8320.2527,8169.612,7350.9983,1.0
669,2019-06-17,8953.0,9313.96,47895.4854,462160,0,8643.1448,8462.2109,8273.6437,7421.1041,1.0
670,2019-06-18,9312.13,9081.55,51554.5694,449730,0,8740.5682,8550.6879,8347.0897,7480.4058,0.7736
671,2019-06-19,9081.97,9255.49,32147.7065,306202,0,8854.9953,8651.3739,8429.6715,7543.8016,0.8597
672,2019-06-20,9253.76,9517.12,34556.054,350662,0,9002.1341,8775.0519,8528.5305,7614.2773,0.9805
673,2019-06-21,9518.06,10159.86,50484.4159,474344,0,9259.4065,8972.8817,8676.8332,7705.1909,1.0
